srcip,srcport,dstip,dstport,proto,dur,sbytes,dbytes,sttl,dttl,service,Label,source_file
10.0.2.6,40140,10.0.2.9,161,udp,1.724363842999992,179134,0,64.0,64.0,snmp,1,snmp_attack_500.csv
10.0.2.9,161,10.0.2.6,34429,udp,1.390725132,186228,0,128.0,128.0,snmp,1,snmp_attack_500.csv
10.0.2.9,161,10.0.2.6,33011,udp,1.0240365460000476,186344,0,128.0,128.0,snmp,1,snmp_attack_500.csv
10.0.2.6,33011,10.0.2.9,161,udp,1.0241569820000225,179248,0,64.0,64.0,snmp,1,snmp_attack_500.csv
10.0.2.9,161,10.0.2.6,44848,udp,4.555257797000081,186228,0,128.0,128.0,snmp,1,snmp_attack_500.csv
10.0.2.9,161,10.0.2.6,39846,udp,2.9201799799999435,186228,0,128.0,128.0,snmp,1,snmp_attack_500.csv
10.0.2.9,161,10.0.2.6,50464,udp,1.3610418699999514,186344,0,128.0,128.0,snmp,1,snmp_attack_500.csv
10.0.2.9,161,10.0.2.6,55612,udp,2.677727030999989,186344,0,128.0,128.0,snmp,1,snmp_attack_500.csv
10.0.2.9,161,10.0.2.6,34143,udp,4.393135970000003,186254,0,128.0,128.0,snmp,1,snmp_attack_500.csv
10.0.2.6,55498,10.0.2.9,161,udp,2.9741339369999764,179248,0,64.0,64.0,snmp,1,snmp_attack_500.csv
10.0.2.9,161,10.0.2.6,57217,udp,1.1299671440000054,186228,0,128.0,128.0,snmp,1,snmp_attack_500.csv
10.0.2.9,161,10.0.2.6,45735,udp,2.546464196999977,186344,0,128.0,128.0,snmp,1,snmp_attack_500.csv
10.0.2.6,59947,10.0.2.9,161,udp,2.5828945620000923,179045,0,64.0,64.0,snmp,1,snmp_attack_500.csv
10.0.2.9,161,10.0.2.6,42157,udp,1.8001618699999824,186228,0,128.0,128.0,snmp,1,snmp_attack_500.csv
10.0.2.9,161,10.0.2.6,46122,udp,3.3320356340000217,186048,0,128.0,128.0,snmp,1,snmp_attack_500.csv
10.0.2.9,161,10.0.2.6,38944,udp,3.5322920259999364,186228,0,128.0,128.0,snmp,1,snmp_attack_500.csv
10.0.2.6,39582,10.0.2.9,161,udp,1.255426005000004,179248,0,64.0,64.0,snmp,1,snmp_attack_500.csv
10.0.2.6,36114,10.0.2.9,161,udp,1.6860663040000643,179134,0,64.0,64.0,snmp,1,snmp_attack_500.csv
10.0.2.6,47638,10.0.2.9,161,udp,1.2827427249999914,179248,0,64.0,64.0,snmp,1,snmp_attack_500.csv
10.0.2.6,52850,10.0.2.9,161,udp,129.189955059,358382,0,64.0,64.0,snmp,1,snmp_attack_500.csv
10.0.2.9,161,10.0.2.6,39582,udp,1.2552079639999931,186344,0,128.0,128.0,snmp,1,snmp_attack_500.csv
10.0.2.6,52373,10.0.2.9,161,udp,1.037215045000039,179134,0,64.0,64.0,snmp,1,snmp_attack_500.csv
10.0.2.6,55028,10.0.2.9,161,udp,1.1133461750000038,179134,0,64.0,64.0,snmp,1,snmp_attack_500.csv
10.0.2.9,161,10.0.2.6,56083,udp,1.2624186410000675,186228,0,128.0,128.0,snmp,1,snmp_attack_500.csv
10.0.2.6,38666,10.0.2.9,161,udp,4.27573960999996,179134,0,64.0,64.0,snmp,1,snmp_attack_500.csv
10.0.2.9,161,10.0.2.6,32922,udp,3.810427000000004,186228,0,128.0,128.0,snmp,1,snmp_attack_500.csv
10.0.2.6,56803,10.0.2.9,161,udp,1.7213586480000913,179248,0,64.0,64.0,snmp,1,snmp_attack_500.csv
10.0.2.6,59274,10.0.2.9,161,udp,1.3107582580000212,179248,0,64.0,64.0,snmp,1,snmp_attack_500.csv
10.0.2.6,54037,10.0.2.9,161,udp,2.2746400009999945,179248,0,64.0,64.0,snmp,1,snmp_attack_500.csv
10.0.2.6,33806,10.0.2.9,161,udp,3.4369832120000297,179070,0,64.0,64.0,snmp,1,snmp_attack_500.csv
10.0.2.9,161,10.0.2.6,59947,udp,2.58348944699992,186138,0,128.0,128.0,snmp,1,snmp_attack_500.csv
10.0.2.6,40366,10.0.2.9,161,udp,4.763100105000035,179134,0,64.0,64.0,snmp,1,snmp_attack_500.csv
10.0.2.6,41225,10.0.2.9,161,udp,0.8982578480000711,179248,0,64.0,64.0,snmp,1,snmp_attack_500.csv
10.0.2.6,52198,10.0.2.9,161,udp,3.648139716000003,179134,0,64.0,64.0,snmp,1,snmp_attack_500.csv
10.0.2.9,161,10.0.2.6,55666,udp,4.330189781000058,186228,0,128.0,128.0,snmp,1,snmp_attack_500.csv
10.0.2.9,161,10.0.2.6,35936,udp,1.711856124999997,186228,0,128.0,128.0,snmp,1,snmp_attack_500.csv
10.0.2.6,39991,10.0.2.9,161,udp,1.3565550859999576,179248,0,64.0,64.0,snmp,1,snmp_attack_500.csv
10.0.2.9,68,10.0.2.3,67,udp,599.410588226,1047,0,128.0,128.0,snmp,1,snmp_attack_500.csv
10.0.2.6,46515,10.0.2.9,161,udp,3.993834006000043,179248,0,64.0,64.0,snmp,1,snmp_attack_500.csv
10.0.2.6,59470,10.0.2.9,161,udp,171.19952235400007,358293,0,64.0,64.0,snmp,1,snmp_attack_500.csv
10.0.2.6,57834,10.0.2.9,161,udp,1.287039424999989,179134,0,64.0,64.0,snmp,1,snmp_attack_500.csv
10.0.2.9,161,10.0.2.6,44147,udp,3.184878695000009,186228,0,128.0,128.0,snmp,1,snmp_attack_500.csv
10.0.2.6,51632,10.0.2.9,161,udp,1.5037933849999945,179045,0,64.0,64.0,snmp,1,snmp_attack_500.csv
10.0.2.9,161,10.0.2.6,37952,udp,1.2548759649999963,186228,0,128.0,128.0,snmp,1,snmp_attack_500.csv
10.0.2.9,161,10.0.2.6,59274,udp,1.3105153959999711,186344,0,128.0,128.0,snmp,1,snmp_attack_500.csv
10.0.2.9,161,10.0.2.6,60033,udp,4.046833260999961,186228,0,128.0,128.0,snmp,1,snmp_attack_500.csv
10.0.2.9,161,10.0.2.6,60262,udp,1.5383787860000666,186344,0,128.0,128.0,snmp,1,snmp_attack_500.csv
10.0.2.9,161,10.0.2.6,42504,udp,1.431008296000016,186228,0,128.0,128.0,snmp,1,snmp_attack_500.csv
10.0.2.9,161,10.0.2.6,36201,udp,4.117748157999927,186254,0,128.0,128.0,snmp,1,snmp_attack_500.csv
10.0.2.6,47194,10.0.2.9,161,udp,4.366445832000011,179134,0,64.0,64.0,snmp,1,snmp_attack_500.csv
10.0.2.9,161,10.0.2.6,51501,udp,1.274944132999963,186344,0,128.0,128.0,snmp,1,snmp_attack_500.csv
10.0.2.9,161,10.0.2.6,46609,udp,1.887804523,186228,0,128.0,128.0,snmp,1,snmp_attack_500.csv
10.0.2.6,46669,10.0.2.9,161,udp,1.7043353740000384,179248,0,64.0,64.0,snmp,1,snmp_attack_500.csv
10.0.2.6,33593,10.0.2.9,161,udp,3.608290861,179134,0,64.0,64.0,snmp,1,snmp_attack_500.csv
10.0.2.9,161,10.0.2.6,45210,udp,1.293644148999988,186344,0,128.0,128.0,snmp,1,snmp_attack_500.csv
10.0.2.9,161,10.0.2.6,53956,udp,1.1983695999999782,186228,0,128.0,128.0,snmp,1,snmp_attack_500.csv
10.0.2.6,50472,10.0.2.9,161,udp,1.9167277279999555,179248,0,64.0,64.0,snmp,1,snmp_attack_500.csv
10.0.2.6,45421,10.0.2.9,161,udp,1.0013657160000091,179134,0,64.0,64.0,snmp,1,snmp_attack_500.csv
10.0.2.9,161,10.0.2.6,58222,udp,1.462496095000006,186344,0,128.0,128.0,snmp,1,snmp_attack_500.csv
10.0.2.9,138,10.0.2.255,138,udp,720.236082128,740,0,128.0,128.0,snmp,1,snmp_attack_500.csv
10.0.2.9,161,10.0.2.6,60257,udp,1.941358593000018,186254,0,128.0,128.0,snmp,1,snmp_attack_500.csv
10.0.2.9,161,10.0.2.6,50769,udp,1.2681120500000134,186344,0,128.0,128.0,snmp,1,snmp_attack_500.csv
10.0.2.6,40588,10.0.2.9,161,udp,1.4956323669999847,179134,0,64.0,64.0,snmp,1,snmp_attack_500.csv
10.0.2.9,161,10.0.2.6,49077,udp,1.4210394909999875,186228,0,128.0,128.0,snmp,1,snmp_attack_500.csv
10.0.2.6,49490,10.0.2.9,161,udp,1.261062136999982,179248,0,64.0,64.0,snmp,1,snmp_attack_500.csv
10.0.2.6,47477,10.0.2.9,161,udp,0.9887956459999714,179134,0,64.0,64.0,snmp,1,snmp_attack_500.csv
10.0.2.9,161,10.0.2.6,56432,udp,1.1646110409999435,186228,0,128.0,128.0,snmp,1,snmp_attack_500.csv
10.0.2.6,51364,10.0.2.9,161,udp,1.3005093099999954,179134,0,64.0,64.0,snmp,1,snmp_attack_500.csv
10.0.2.6,39682,10.0.2.9,161,udp,1.403001154000009,179248,0,64.0,64.0,snmp,1,snmp_attack_500.csv
