frame.number,frame.time_relative,ip.src,ip.dst,ip.proto,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,frame.len
177,148.845481030,10.0.4.4,10.0.4.3,6,445,40989,,,66
178,148.845481153,10.0.4.4,10.0.4.3,6,445,40989,,,66
179,148.845941992,10.0.4.3,10.0.4.4,6,40989,445,,,10202
180,148.846211627,10.0.4.3,10.0.4.4,6,40989,445,,,8218
181,148.846493603,10.0.4.3,10.0.4.4,6,40989,445,,,10202
182,148.846695842,10.0.4.4,10.0.4.3,6,445,40989,,,66
183,148.847002212,10.0.4.4,10.0.4.3,6,445,40989,,,66
184,148.847002328,10.0.4.4,10.0.4.3,6,445,40989,,,66
185,148.847002362,10.0.4.4,10.0.4.3,6,445,40989,,,66
186,148.847071867,10.0.4.3,10.0.4.4,6,40989,445,,,19457
187,148.847777950,10.0.4.4,10.0.4.3,6,445,40989,,,66
188,148.847778274,10.0.4.4,10.0.4.3,6,445,40989,,,66
189,148.847778307,10.0.4.4,10.0.4.3,6,445,40989,,,66
190,148.848085272,10.0.4.4,10.0.4.3,6,445,40989,,,66
191,148.848085426,10.0.4.4,10.0.4.3,6,445,40989,,,66
192,148.848085458,10.0.4.4,10.0.4.3,6,445,40989,,,66
193,148.848085492,10.0.4.4,10.0.4.3,6,445,40989,,,66
194,154.331057453,10.0.4.4,10.0.4.3,6,49165,4444,,,66
195,154.331342577,10.0.4.3,10.0.4.4,6,4444,49165,,,66
196,154.334759316,10.0.4.4,10.0.4.3,6,49165,4444,,,60
197,154.837618039,10.0.4.3,10.0.4.4,6,4444,49165,,,58
198,154.949017825,10.0.4.3,10.0.4.4,6,4444,49165,,,7354
199,154.954380626,10.0.4.4,10.0.4.3,6,49165,4444,,,60
200,154.955710525,10.0.4.3,10.0.4.4,6,4444,49165,,,5894
201,154.959641787,10.0.4.4,10.0.4.3,6,49165,4444,,,60
202,154.962641106,10.0.4.3,10.0.4.4,6,4444,49165,,,2974
203,154.963945737,10.0.4.3,10.0.4.4,6,4444,49165,,,2974
204,154.964984414,10.0.4.4,10.0.4.3,6,49165,4444,,,60
205,154.966070658,10.0.4.3,10.0.4.4,6,4444,49165,,,2974
206,154.967611252,10.0.4.4,10.0.4.3,6,49165,4444,,,60
207,154.967994407,10.0.4.3,10.0.4.4,6,4444,49165,,,2974
208,154.968999600,10.0.4.4,10.0.4.3,6,49165,4444,,,60
209,154.971084585,10.0.4.3,10.0.4.4,6,4444,49165,,,2974
210,154.972293329,10.0.4.3,10.0.4.4,6,4444,49165,,,2974
211,154.973359375,10.0.4.4,10.0.4.3,6,49165,4444,,,60
212,154.974708176,10.0.4.3,10.0.4.4,6,4444,49165,,,2162
213,154.975594181,10.0.4.4,10.0.4.3,6,49165,4444,,,60
214,154.978682590,10.0.4.4,10.0.4.3,6,49165,4444,,,60
215,155.010723214,10.0.4.3,10.0.4.4,6,4444,49165,,,4434
216,155.010991043,10.0.4.3,10.0.4.4,6,4444,49165,,,4434
217,155.011518836,10.0.4.3,10.0.4.4,6,4444,49165,,,4434
218,155.011843683,10.0.4.3,10.0.4.4,6,4444,49165,,,4434
219,155.012540677,10.0.4.4,10.0.4.3,6,49165,4444,,,60
220,155.012581051,10.0.4.3,10.0.4.4,6,4444,49165,,,11734
221,155.013032408,10.0.4.3,10.0.4.4,6,4444,49165,,,11734
222,155.014964006,10.0.4.4,10.0.4.3,6,49165,4444,,,60
223,155.014964539,10.0.4.4,10.0.4.3,6,49165,4444,,,60
224,155.015008212,10.0.4.3,10.0.4.4,6,4444,49165,,,14654
225,155.015394727,10.0.4.3,10.0.4.4,6,4444,49165,,,14654
226,155.016635670,10.0.4.4,10.0.4.3,6,49165,4444,,,60
227,155.016636182,10.0.4.4,10.0.4.3,6,49165,4444,,,60
228,155.017495939,10.0.4.3,10.0.4.4,6,4444,49165,,,17574
229,155.017823151,10.0.4.3,10.0.4.4,6,4444,49165,,,8630
230,155.019388275,10.0.4.4,10.0.4.3,6,49165,4444,,,60
231,155.019389128,10.0.4.4,10.0.4.3,6,49165,4444,,,60
232,155.019432702,10.0.4.3,10.0.4.4,6,4444,49165,,,10274
233,155.019766595,10.0.4.3,10.0.4.4,6,4444,49165,,,21954
234,155.022525391,10.0.4.4,10.0.4.3,6,49165,4444,,,60
235,155.022525966,10.0.4.4,10.0.4.3,6,49165,4444,,,60
236,155.022526097,10.0.4.4,10.0.4.3,6,49165,4444,,,60
237,155.022579023,10.0.4.3,10.0.4.4,6,4444,49165,,,7318
238,155.023036612,10.0.4.3,10.0.4.4,6,4444,49165,,,32174
239,155.026179221,10.0.4.4,10.0.4.3,6,49165,4444,,,60
240,155.026179800,10.0.4.4,10.0.4.3,6,49165,4444,,,60
241,155.026234471,10.0.4.3,10.0.4.4,6,4444,49165,,,3452
242,155.030563700,10.0.4.4,10.0.4.3,6,49165,4444,,,60
243,155.645771611,10.0.4.3,10.0.4.4,6,4444,49165,,,441
244,155.712458155,10.0.4.4,10.0.4.3,6,49165,4444,,,451
245,155.712707424,10.0.4.3,10.0.4.4,6,4444,49165,,,54
246,155.730485826,10.0.4.3,10.0.4.4,6,4444,49165,,,182
247,155.788468856,10.0.4.4,10.0.4.3,6,49165,4444,,,566
248,155.806749411,10.0.4.3,10.0.4.4,6,4444,49165,,,182
249,155.865487069,10.0.4.4,10.0.4.3,6,49165,4444,,,214
250,155.872400566,10.0.4.3,10.0.4.4,6,4444,49165,,,166
251,156.109105923,10.0.4.3,10.0.4.4,6,4444,49165,,,166
252,156.117326727,10.0.4.4,10.0.4.3,6,49165,4444,,,60
253,156.117327662,10.0.4.4,10.0.4.3,6,49165,4444,,,66
254,157.439887542,10.0.4.4,10.0.4.3,6,49165,4444,,,214
255,157.454395925,10.0.4.3,10.0.4.4,6,4444,49165,,,182
256,157.489698034,10.0.4.4,10.0.4.3,6,49165,4444,,,278
257,157.544031533,10.0.4.3,10.0.4.4,6,4444,49165,,,54
258,157.635582892,10.0.4.3,10.0.4.4,6,4444,49165,,,182
259,157.669722439,10.0.4.4,10.0.4.3,6,49165,4444,,,1574
260,157.669887044,10.0.4.3,10.0.4.4,6,4444,49165,,,54
261,157.719860095,10.0.4.3,10.0.4.4,6,4444,49165,,,166
262,157.770909502,10.0.4.4,10.0.4.3,6,49165,4444,,,230
263,157.770960558,10.0.4.3,10.0.4.4,6,4444,49165,,,54
264,157.774805609,10.0.4.3,10.0.4.4,6,4444,49165,,,166
265,157.832331687,10.0.4.4,10.0.4.3,6,49165,4444,,,230
266,157.841415763,10.0.4.3,10.0.4.4,6,4444,49165,,,166
267,157.894740725,10.0.4.4,10.0.4.3,6,49165,4444,,,326
268,157.898430150,10.0.4.3,10.0.4.4,6,4444,49165,,,166
269,157.957295843,10.0.4.4,10.0.4.3,6,49165,4444,,,646
270,157.960782412,10.0.4.3,10.0.4.4,6,4444,49165,,,166
271,158.020141505,10.0.4.4,10.0.4.3,6,49165,4444,,,1542
272,158.021222815,10.0.4.3,10.0.4.4,6,4444,49165,,,54
273,158.849532043,10.0.4.3,10.0.4.4,6,40989,445,,,66
274,158.850905575,10.0.4.4,10.0.4.3,6,445,40989,,,66
275,158.857659699,10.0.4.4,10.0.4.3,6,445,40989,,,60
