srcip,srcport,dstip,dstport,proto,dur,sbytes,dbytes,sttl,dttl,service,Label
10.0.2.6,60033.0,10.0.2.9,161.0,udp,4.047432475999983,179134,0,64.0,64.0,snmp,1
10.0.2.6,58420.0,10.0.2.9,161.0,udp,1.3703542079999806,179134,0,64.0,64.0,snmp,1
10.0.2.9,161.0,10.0.2.6,55896.0,udp,2.916661860999966,186228,0,128.0,128.0,snmp,1
10.0.2.9,161.0,10.0.2.6,38814.0,udp,3.313307746000021,186344,0,128.0,128.0,snmp,1
10.0.2.6,56083.0,10.0.2.9,161.0,udp,1.2623716759999297,179134,0,64.0,64.0,snmp,1
10.0.2.6,60007.0,10.0.2.9,161.0,udp,3.009052588000003,179248,0,64.0,64.0,snmp,1
10.0.2.9,161.0,10.0.2.6,54398.0,udp,2.1532016390000024,186344,0,128.0,128.0,snmp,1
10.0.2.9,161.0,10.0.2.6,55668.0,udp,3.424824461000071,186228,0,128.0,128.0,snmp,1
10.0.2.6,48722.0,10.0.2.9,161.0,udp,4.4843952759999866,178956,0,64.0,64.0,snmp,1
10.0.2.6,37952.0,10.0.2.9,161.0,udp,1.2550086929999793,179134,0,64.0,64.0,snmp,1
10.0.2.9,161.0,10.0.2.6,51378.0,udp,1.2382278589999771,186138,0,128.0,128.0,snmp,1
10.0.2.6,36898.0,10.0.2.9,161.0,udp,256.426655272,358204,0,64.0,64.0,snmp,1
10.0.2.6,41509.0,10.0.2.9,161.0,udp,1.0060962689999542,179134,0,64.0,64.0,snmp,1
10.0.2.6,57218.0,10.0.2.9,161.0,udp,1.4086048930000175,179045,0,64.0,64.0,snmp,1
10.0.2.6,43091.0,10.0.2.9,161.0,udp,1.0930672670000376,179134,0,64.0,64.0,snmp,1
10.0.2.6,58317.0,10.0.2.9,161.0,udp,1.2354441649999899,179248,0,64.0,64.0,snmp,1
8.8.8.8,53.0,10.0.2.9,59798.0,udp,0.0,156,0,255.0,255.0,snmp,1
10.0.2.9,161.0,10.0.2.6,50087.0,udp,3.3814457240000593,186228,0,128.0,128.0,snmp,1
10.0.2.9,161.0,10.0.2.6,46275.0,udp,1.266009185999991,186344,0,128.0,128.0,snmp,1
10.0.2.9,161.0,10.0.2.6,56428.0,udp,2.804826661999982,186228,0,128.0,128.0,snmp,1
10.0.2.9,161.0,10.0.2.6,40366.0,udp,4.761333000000036,186228,0,128.0,128.0,snmp,1
10.0.2.9,161.0,10.0.2.6,48622.0,udp,1.2317317170000024,186228,0,128.0,128.0,snmp,1
10.0.2.9,161.0,10.0.2.6,41838.0,udp,2.368329005000021,186228,0,128.0,128.0,snmp,1
10.0.2.6,57307.0,10.0.2.9,161.0,udp,1.4028153010000324,179248,0,64.0,64.0,snmp,1
10.0.2.9,161.0,10.0.2.6,50346.0,udp,1.2434408539999708,186228,0,128.0,128.0,snmp,1
10.0.2.9,161.0,10.0.2.6,49346.0,udp,1.3715012810000076,186344,0,128.0,128.0,snmp,1
10.0.2.6,39135.0,10.0.2.9,161.0,udp,1.3767671219999897,179134,0,64.0,64.0,snmp,1
10.0.2.6,54386.0,10.0.2.9,161.0,udp,1.1612327220000225,179248,0,64.0,64.0,snmp,1
10.0.2.9,161.0,10.0.2.6,42982.0,udp,1.7578823150000744,186344,0,128.0,128.0,snmp,1
10.0.2.6,59078.0,10.0.2.9,161.0,udp,4.629153639999913,179248,0,64.0,64.0,snmp,1
10.0.2.9,161.0,10.0.2.6,50937.0,udp,4.136242075000041,186344,0,128.0,128.0,snmp,1
10.0.2.9,161.0,10.0.2.6,37641.0,udp,1.4235453630000166,186228,0,128.0,128.0,snmp,1
10.0.2.9,161.0,10.0.2.6,52549.0,udp,1.6074225040000556,186344,0,128.0,128.0,snmp,1
10.0.2.6,47233.0,10.0.2.9,161.0,udp,1.4211329849999856,179248,0,64.0,64.0,snmp,1
10.0.2.6,44634.0,10.0.2.9,161.0,udp,3.456314556999928,179070,0,64.0,64.0,snmp,1
10.0.2.9,161.0,10.0.2.6,45421.0,udp,1.0006939469999452,186228,0,128.0,128.0,snmp,1
10.0.2.9,161.0,10.0.2.6,49006.0,udp,2.870901779999997,186228,0,128.0,128.0,snmp,1
10.0.2.6,50371.0,10.0.2.9,161.0,udp,1.1594563899999457,179248,0,64.0,64.0,snmp,1
10.0.2.6,53956.0,10.0.2.9,161.0,udp,1.1989612220000367,179134,0,64.0,64.0,snmp,1
10.0.2.6,60257.0,10.0.2.9,161.0,udp,1.9407271169999376,179159,0,64.0,64.0,snmp,1
10.0.2.6,55963.0,10.0.2.9,161.0,udp,1.2030738469999278,179248,0,64.0,64.0,snmp,1
10.0.2.6,60170.0,10.0.2.9,161.0,udp,1.6232229260000395,179248,0,64.0,64.0,snmp,1
10.0.2.6,55975.0,10.0.2.9,161.0,udp,1.4442055119999964,179248,0,64.0,64.0,snmp,1
10.0.2.9,161.0,10.0.2.6,47068.0,udp,4.032961553999996,186344,0,128.0,128.0,snmp,1
10.0.2.9,161.0,10.0.2.6,39135.0,udp,1.3761811749999993,186228,0,128.0,128.0,snmp,1
10.0.2.9,161.0,10.0.2.6,56496.0,udp,1.6540475060000404,186228,0,128.0,128.0,snmp,1
10.0.2.9,161.0,10.0.2.6,47823.0,udp,1.2814104699999689,186228,0,128.0,128.0,snmp,1
10.0.2.6,43510.0,10.0.2.9,161.0,udp,2.7741731479999885,179248,0,64.0,64.0,snmp,1
10.0.2.6,51933.0,10.0.2.9,161.0,udp,1.8970598010000117,179134,0,64.0,64.0,snmp,1
10.0.2.6,46575.0,10.0.2.9,161.0,udp,2.943380794999939,179045,0,64.0,64.0,snmp,1
10.0.2.9,161.0,10.0.2.6,36141.0,udp,1.3611674980000146,186344,0,128.0,128.0,snmp,1
10.0.2.6,33062.0,10.0.2.9,161.0,udp,1.4964290710000796,179134,0,64.0,64.0,snmp,1
10.0.2.9,161.0,10.0.2.6,53830.0,udp,2.5420996220000234,186228,0,128.0,128.0,snmp,1
10.0.2.6,34440.0,10.0.2.9,161.0,udp,1.344523054000092,179134,0,64.0,64.0,snmp,1
10.0.2.6,49156.0,10.0.2.9,161.0,udp,3.5095806990000256,179248,0,64.0,64.0,snmp,1
10.0.2.9,161.0,10.0.2.6,47638.0,udp,1.2820000229999948,186344,0,128.0,128.0,snmp,1
10.0.2.6,38146.0,10.0.2.9,161.0,udp,1.1545638910000093,179248,0,64.0,64.0,snmp,1
10.0.2.9,161.0,10.0.2.6,32932.0,udp,2.933161126000016,186228,0,128.0,128.0,snmp,1
10.0.2.9,161.0,10.0.2.6,35999.0,udp,2.1541206879999777,186228,0,128.0,128.0,snmp,1
10.0.2.9,161.0,10.0.2.6,47626.0,udp,3.645020203999991,186344,0,128.0,128.0,snmp,1
10.0.2.9,161.0,10.0.2.6,34770.0,udp,4.283595089999949,186470,0,128.0,128.0,snmp,1
10.0.2.9,161.0,10.0.2.6,33956.0,udp,1.1070344770000702,186228,0,128.0,128.0,snmp,1
10.0.2.6,37257.0,10.0.2.9,161.0,udp,4.317746911999961,179248,0,64.0,64.0,snmp,1
10.0.2.9,161.0,10.0.2.6,36898.0,udp,256.42627097599996,372392,0,128.0,128.0,snmp,1
10.0.2.6,34929.0,10.0.2.9,161.0,udp,1.1667300000000012,179248,0,64.0,64.0,snmp,1
10.0.2.9,161.0,10.0.2.6,46718.0,udp,3.8111201460000075,186228,0,128.0,128.0,snmp,1
10.0.2.6,53055.0,10.0.2.9,161.0,udp,1.3670496860000014,179248,0,64.0,64.0,snmp,1
10.0.2.9,161.0,10.0.2.6,45573.0,udp,2.603722173000051,186228,0,128.0,128.0,snmp,1
10.0.2.9,161.0,10.0.2.6,49846.0,udp,1.4979919319999908,186228,0,128.0,128.0,snmp,1
10.0.2.6,36201.0,10.0.2.9,161.0,udp,4.117723694000006,179159,0,64.0,64.0,snmp,1
10.0.2.9,161.0,10.0.2.6,51933.0,udp,1.8964011599999822,186228,0,128.0,128.0,snmp,1
10.0.2.6,56916.0,10.0.2.9,161.0,udp,1.2250280370000155,179134,0,64.0,64.0,snmp,1
10.0.2.9,161.0,10.0.2.6,43377.0,udp,4.167591227999992,186228,0,128.0,128.0,snmp,1
10.0.2.6,59049.0,10.0.2.9,161.0,udp,3.814252605999968,179134,0,64.0,64.0,snmp,1
10.0.2.9,161.0,10.0.2.6,49156.0,udp,3.509045459000049,186344,0,128.0,128.0,snmp,1
10.0.2.9,161.0,10.0.2.6,40588.0,udp,1.4951378270000077,186228,0,128.0,128.0,snmp,1
10.0.2.9,161.0,10.0.2.6,43510.0,udp,2.7719607159999953,186344,0,128.0,128.0,snmp,1
10.0.2.6,47626.0,10.0.2.9,161.0,udp,3.6453431230000035,179248,0,64.0,64.0,snmp,1
10.0.2.6,44848.0,10.0.2.9,161.0,udp,4.554377082000087,179134,0,64.0,64.0,snmp,1
10.0.2.9,161.0,10.0.2.6,33806.0,udp,3.4364593230000082,186164,0,128.0,128.0,snmp,1
10.0.2.9,161.0,10.0.2.6,53571.0,udp,1.902267724000012,186228,0,128.0,128.0,snmp,1
10.0.2.9,161.0,10.0.2.6,47233.0,udp,1.4210896839999805,186344,0,128.0,128.0,snmp,1
10.0.2.6,49334.0,10.0.2.9,161.0,udp,3.89683538700001,179248,0,64.0,64.0,snmp,1
